l,m,n,Parity,Re/Im,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
2,1,1,Even,Im,-0.0008737471569849501,-0.010354908501895686,-0.009264656495327553,-0.06198254183278055,-0.0649358803755357,-0.04660950871543125,-0.02051170810568806,-0.005308341474400114,-0.0007329925106816317,-4.0708626046688656e-05
2,1,1,Odd,Re,0.004572799776602706,-0.08035464079520985,-0.16160869647389373,-0.38423061106084694,-0.48538304123163384,-0.3634795294092802,-0.16544748288023728,-0.04464381377584145,-0.006554349215311356,-0.00040171769617367367
2,1,1,Odd,Im,-0.0026371118759984566,0.001469831097771848,0.044220104671033385,0.06659354861901517,0.09559594584728852,0.07281577063072035,0.03345328367669915,0.009152114199401226,0.001376428638360483,8.80215187923341e-05
2,2,0,Even,Re,0.011553646946207589,-0.05355402784325678,-0.0571878935851037,-0.2249430832655916,-0.2817749458442916,-0.2127516240661767,-0.0977745698336756,-0.02661348961284525,-0.0039311596566949675,-0.00024235958933261102
2,2,0,Even,Im,-0.004610283842525919,-0.00032155724628722134,0.06712427978210665,0.10832589162795045,0.13266470618032306,0.09902591390529919,0.0447309058418593,0.01197376064814126,0.001746121690402967,0.0001066502947993907
2,2,0,Odd,Re,0.012052251390349543,-0.08835881253775639,-0.19854445123936154,-0.4455006515629797,-0.5583708735053137,-0.43007098605096566,-0.19945697076937205,-0.05435061437847626,-0.008010056300541333,-0.0004921855894515533
2,2,0,Odd,Im,0.002097509702321385,-0.05684793692710151,-0.16690923637379004,-0.35418652021942926,-0.4581161250883515,-0.3469544967399581,-0.15663382334648587,-0.041744621816837954,-0.006059599016936665,-0.0003687697187049518
2,2,1,Even,Re,0.0049028462147030945,0.0001540526857945789,0.1547571067174542,0.22663370722086454,0.2850779838795243,0.21601560708617967,0.09879669674641366,0.02668987158515057,0.003915808344487872,0.00024002623516516098
2,2,1,Even,Im,-0.0007398000286943857,-0.03709860453043481,-0.06504556434006506,-0.12142744428936642,-0.1255506989816842,-0.09334683180172375,-0.044028496439340814,-0.012335519583666393,-0.0018669677261761862,-0.00011736169890300457
2,2,1,Odd,Re,0.005456090163576627,-0.1690973494210541,-0.364736392720684,-0.8914434602046516,-1.219790173460633,-0.9343217807378665,-0.41658667193756527,-0.10842216439004672,-0.015311535890616769,-0.0009069382888391766
2,2,1,Odd,Im,-0.002770834875607981,0.0405938310581686,0.10996281957854878,0.1141302441274835,0.2194801893926474,0.25076491215499547,0.1453333717031531,0.044700393696439,0.007038498570158541,0.0004482379428245259
2,2,2,Even,Re,0.01466978303709862,-0.0017119937993984613,0.15103537930329597,0.38765909519699066,0.5958067067171184,0.47867900038185945,0.22033926023069608,0.058685434425988565,0.008422108831115329,0.0005040467545407692
2,2,2,Even,Im,0.005416260680090462,-0.18958398518902073,-0.5538311550924233,-1.10609296372416,-1.3799779303415276,-1.0746498487945815,-0.5074823978787827,-0.14093361024291007,-0.02112724937018632,-0.0013166568071290058
2,2,2,Odd,Re,-0.00940275664894745,-0.08305171718085057,-0.2837092251324436,-0.7822291254590701,-0.3825996650670754,0.35697241586295825,0.4377397447261726,0.17848999428813106,0.032997748362649196,0.002338400818775317
2,2,2,Odd,Im,0.014241669566328068,0.23016271512709652,0.6698164883818801,1.9934429029735459,3.343084462522812,2.838880772560939,1.3274361060296342,0.34988828564561836,0.048935778672430166,0.002830887097586755
3,2,0,Even,Re,0.015169124288225156,-0.06145784818600357,-0.1179970816818441,-0.3016003361388316,-0.3792265921134757,-0.2867894428338621,-0.13125967725936055,-0.03554056292959318,-0.005229586366156646,-0.00032158214103620734
3,2,0,Even,Im,-0.0008210371342163778,-0.005181061167208513,0.011868595673003416,0.005760485710432038,0.00736662864364967,0.0044438761604481125,0.001828391871769683,0.00046598068176205133,6.599072916953593e-05,3.967320294518513e-06
3,2,0,Odd,Re,0.013913657302320902,-0.06670426065636634,-0.13187827808212815,-0.3244689959743039,-0.40519253882204853,-0.30647288271697976,-0.14026511611629422,-0.037966524164778,-0.005584756703185121,-0.0003433446582329217
3,2,0,Odd,Im,0.0010276374486504988,-0.023327826124729206,-0.059920921998187736,-0.13557945068641322,-0.1689567235695758,-0.12730089324274227,-0.057935003052629545,-0.015637196303766435,-0.002297069242960346,-0.00014111339924690762
3,2,1,Even,Re,0.013467511315316873,-0.054945481114948645,-0.08031640280760076,-0.22974291943485872,-0.29417915946494416,-0.22311180574232328,-0.10223540090546562,-0.027699125758437037,-0.004078385354285135,-0.00025085863943020574
3,2,1,Even,Im,-0.0025664915098190795,-0.013591749302910702,0.01745925245300965,-0.0078101881955779705,-0.002407277430892355,-0.0031216757063130918,-0.0017285402177188844,-0.0005432104631518555,-8.836791076193755e-05,-5.877442441559575e-06
3,2,1,Odd,Re,0.013276397737949334,-0.08676177190568617,-0.1792269257029849,-0.4278937684257351,-0.5356334710227562,-0.40362408327049,-0.18437632458367645,-0.04987156158416554,-0.007334835352880441,-0.0004508770473214942
3,2,1,Odd,Im,-0.0005238836468766858,-0.025098344296469607,-0.035630174015364904,-0.1218958440409832,-0.14645500810158146,-0.11123689844481334,-0.0508360218675136,-0.013773817352558216,-0.002028696244019502,-0.00012491737082893312
3,3,0,Even,Re,0.01551978846446813,-0.0949165380435701,-0.1594616797602031,-0.45214374038112765,-0.5598225625187858,-0.4238690290216282,-0.1941780435063387,-0.05262271382348027,-0.00774583228351157,-0.00047639523634905806
3,3,0,Even,Im,-0.0008190682679249749,-0.00821379456717184,0.02148752234441019,0.0077533324853677355,0.010848091663512312,0.007045160449121628,0.0026761785914917497,0.0006262961114016008,8.422113651702339e-05,4.928229491663391e-06
3,3,0,Odd,Re,0.014287422723235693,-0.10335864196897816,-0.18409720959841716,-0.4806794046430751,-0.5981604988472845,-0.4539079051845854,-0.20790211946418763,-0.05627070006244322,-0.008270510317678571,-0.0005079933035738508
3,3,0,Odd,Im,0.0011791930534358682,-0.03471862227399115,-0.09235800927038662,-0.20093336768426157,-0.25239982697353136,-0.18997655378591377,-0.08615614159069794,-0.023171929654529636,-0.0033968638847932738,-0.0002085635794751771
3,3,1,Even,Re,0.013748302388091431,-0.08340546768138755,-0.10042448533439782,-0.34193578115879275,-0.4295049838527115,-0.3273156629932856,-0.15049293606457456,-0.04090017206057797,-0.006033204140572779,-0.0003716312565698581
3,3,1,Even,Im,-0.0025487967745014923,-0.020982101549184735,0.023392460207557794,-0.004159071151032543,5.415607212098597e-05,-0.002807985705198992,-0.0023531336309158377,-0.0008088464070911493,-0.00013128114448766705,-8.407414955491857e-06
3,3,1,Odd,Re,0.01376700667506937,-0.13595288542348863,-0.2589854222414134,-0.6309380002038693,-0.7915495648402691,-0.5970213896467008,-0.2713722567985007,-0.07305918019621162,-0.010708475470641602,-0.0006570799130390705
3,3,1,Odd,Im,-0.00038374994863223875,-0.03308664420112733,-0.05757737266669883,-0.18335639324338815,-0.22519988079969888,-0.16588358953493634,-0.0748791552189147,-0.020302834851568904,-0.0030132337849442374,-0.00018725818483362878
4,2,0,Even,Re,0.01794112001914811,-0.062249052545695016,-0.12672825827334455,-0.307168884346748,-0.38839263017004905,-0.29294674692705597,-0.13396544279042102,-0.036257596917163355,-0.005332149956212958,-0.00032774848182580115
4,2,0,Even,Im,1.5482594642549965e-05,-0.005504355898219117,0.00040301115651673896,-0.011918993648228593,-0.014959647590084021,-0.011686332185639017,-0.005435776348773991,-0.0014839501285052814,-0.00022071870633961512,-1.3763049379741761e-05
4,2,0,Odd,Re,0.01709365086731431,-0.06371976292301013,-0.12939395331053624,-0.3102446137851555,-0.3916361031647218,-0.29541746544746,-0.13513626506071827,-0.036581315491867765,-0.005380084378423099,-0.00033069039749406503
4,2,0,Odd,Im,0.0005842863375454041,-0.013367578622794161,-0.029874275372410383,-0.07117270018607816,-0.08781635811225721,-0.06627278728941466,-0.030262464979013918,-0.008174607759036216,-0.0012016421215377048,-7.392296589690822e-05
4,4,0,Even,Re,0.01865306723497436,-0.1301998858207848,-0.21764131873034087,-0.6109041907550683,-0.7552664064241199,-0.5723747328320287,-0.2621084985514998,-0.07100777827183263,-0.010449943503074158,-0.0006426501866981131
4,4,0,Even,Im,5.2094437155966265e-05,-0.011013158446496854,0.0029432750169424513,-0.026374302267869586,-0.03037845100979925,-0.02389364040725065,-0.011226085914236406,-0.003076636662164095,-0.00045473294957117024,-2.801326527708052e-05
4,4,0,Odd,Re,0.017811496114673604,-0.13335024157143843,-0.2225847607992878,-0.6131303739319047,-0.7599843586380624,-0.5763258823551025,-0.26399011497012864,-0.07152215377701814,-0.010524912706458226,-0.0006471819506974003
4,4,0,Odd,Im,0.0007434346572224073,-0.026066390058581853,-0.06040165345432381,-0.139295386018007,-0.1737156011311206,-0.13139779981036137,-0.05985182088890442,-0.01614335282397803,-0.0023699526297110965,-0.00014559332094340427
